#flow_id|protocol|first_seen|last_seen|duration|src_ip|src_port|dst_ip|dst_port|ndpi_proto_num|ndpi_proto|proto_by_ip|server_name_sni|c_to_s_pkts|c_to_s_bytes|c_to_s_goodput_bytes|s_to_c_pkts|s_to_c_bytes|s_to_c_goodput_bytes|data_ratio|str_data_ratio|c_to_s_goodput_ratio|s_to_c_goodput_ratio|iat_flow_min|iat_flow_avg|iat_flow_max|iat_flow_stddev|iat_c_to_s_min|iat_c_to_s_avg|iat_c_to_s_max|iat_c_to_s_stddev|iat_s_to_c_min|iat_s_to_c_avg|iat_s_to_c_max|iat_s_to_c_stddev|pktlen_c_to_s_min|pktlen_c_to_s_avg|pktlen_c_to_s_max|pktlen_c_to_s_stddev|pktlen_s_to_c_min|pktlen_s_to_c_avg|pktlen_s_to_c_max|pktlen_s_to_c_stddev|cwr|ece|urg|ack|psh|rst|syn|fin|c_to_s_cwr|c_to_s_ece|c_to_s_urg|c_to_s_ack|c_to_s_psh|c_to_s_rst|c_to_s_syn|c_to_s_fin|s_to_c_cwr|s_to_c_ece|s_to_c_urg|s_to_c_ack|s_to_c_psh|s_to_c_rst|s_to_c_syn|s_to_c_fin|c_to_s_init_win|s_to_c_init_win|server_info|tls_version|quic_version|ja3s|advertised_alpns|negotiated_alpn|tls_supported_versions|ssh_client_hassh|ssh_server_hassh|flow_info|plen_bins|http_user_agent
66|6|1756803443.828|1756803444.222|0.394|10.131.200.96|51807|142.250.180.138|443|91|TLS|Google||3|1583|1421|3|996|834|0.228|Upload|89.7|83.7|1|130.7|298|124.1|393|196.5|393|196.5|1|149.5|298|148.5|54|527.7|1454|655.1|54|332.0|861|374.2|0|0|0|6|3|0|0|0|0|0|0|3|1|0|0|0|0|0|0|3|2|0|0|0|0|0||0|0||||||||50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0|
61|6|1756803438.449|1756803438.508|0.059|10.131.200.96|51808|142.250.180.138|443|91|TLS|Google||3|186|24|3|174|0|0.033|Mixed|12.8|0.0|59|59.0|59|0.0|59|29.5|59|29.5|0|0.0|0|0.0|54|62.0|78|11.3|54|58.0|66|5.7|0|0|0|6|1|0|0|2|0|0|0|3|1|0|0|1|0|0|0|3|0|0|0|1|0|0||0|0||||||||100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
41|6|1756803399.957|1756803400.282|0.325|10.131.200.96|61896|216.58.205.46|443|91.126|TLS.Google|Google|encrypted-tbn0.gstatic.com|11|2556|1810|9|8210|7608|-0.525|Download|70.8|92.7|1|31.9|87|29.0|0|20.0|104|35.2|0|36.7|126|45.9|66|232.4|1454|398.7|66|912.2|1454|608.3|0|0|0|19|6|0|2|0|0|0|0|10|2|0|1|0|0|0|0|9|4|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||0;0;11;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;22;0;0;0;0;44;0;0;0;0|
53|6|1756803414.144|1756803425.614|11.470|10.131.200.96|61899|216.58.205.59|443|91.239|TLS.GoogleServices|Google|op-de.storage.googleapis.com|3425|228750|2692|6529|9472931|9042009|-0.953|Download|1.2|95.5|1|6.7|1851|52.0|0|1.6|1851|35.4|0|0.9|1917|25.8|66|66.8|1454|25.3|66|1450.9|1454|61.9|0|0|0|9953|3276|0|2|0|0|0|0|3424|15|0|1|0|0|0|0|6529|3261|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0|
56|6|1756803421.528|1756803427.521|5.993|216.58.204.138|443|10.131.200.96|51839|91|TLS|Google||3|162|0|3|186|24|-0.069|Mixed|0.0|12.8|76|2996.0|5916|2920.0|0|2996.5|5993|2996.5|5916|5916.0|5916|0.0|54|54.0|54|0.0|54|62.0|78|11.3|0|0|0|4|1|2|0|2|0|0|0|1|0|2|0|1|0|0|0|3|1|0|0|1|0|0||0|0||||||||100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
42|6|1756803405.543|1756803405.770|0.227|10.131.200.96|52030|83.224.69.211|443|91|TLS|Unknown|dsadata.intel.com|6|1385|1049|6|1463|1127|-0.027|Mixed|75.7|77.0|3|31.3|72|31.1|5|36.5|72|31.6|0|37.2|77|35.0|54|230.8|801|266.5|54|243.8|639|213.5|0|0|0|11|6|0|2|0|0|0|0|5|3|0|1|0|0|0|0|6|3|0|1|0|66|66||TLSv1.3|0|2253c82f03b621c5144709b393fde2c9|||TLSv1.3;TLSv1.2;TLSv1.1;TLSv1||||0;0;16;0;0;0;16;16;16;0;0;0;0;0;0;0;0;0;16;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
19|17|1756803399.808|1756803399.860|0.052|10.131.200.96|55885|10.131.200.79|53|5|DNS|Unknown|fonts.gstatic.com|1|77|35|1|93|51|-0.094|Mixed|44.9|54.3|52|52.0|52|0.0|0|0.0|0|0.0|0|0.0|0|0.0|77|77.0|77|0.0|93|93.0|93|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|||||||142.250.180.131|0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
27|6|1756803399.872|1756803400.027|0.155|10.131.200.96|61882|216.58.204.228|80|7.126|HTTP.Google|Google|t2.gstatic.com|11|1048|314|10|11426|10758|-0.832|Download|29.9|94.1|1|25.0|61|24.2|0|11.4|63|20.7|0|9.9|79|26.1|66|95.3|380|90.1|66|1142.6|1454|546.0|0|0|0|20|5|0|2|0|0|0|0|10|1|0|1|0|0|0|0|10|4|0|1|0|74|74||0|0||||||||0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0|com.google.android.apps.maps/1068215109 (Linux; U; Android 15; en_US; moto g54 5G; Build/V1TDS35H.83-20-5-5; Cronet/140.0.7289.0)
45|6|1756803407.145|1756803427.432|20.287|216.58.204.138|443|10.131.200.96|51887|91|TLS|Google||3|431|269|2|108|0|0.599|Upload|62.3|0.0|52|10143.0|20234|10091.0|0|10143.0|20286|10143.0|20234|20234.0|20234|0.0|81|143.7|175|44.3|54|54.0|54|0.0|0|0|0|5|3|0|0|0|0|0|0|3|3|0|0|0|0|0|0|2|0|0|0|0|0|0||0|0||||||||33;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
44|6|1756803406.762|1756803436.833|30.071|216.58.204.234|443|10.131.200.96|51792|91|TLS|Google||2|256|148|2|108|0|0.407|Upload|57.6|0.0|42|10023.3|29973|14106.5|30028|30028.0|30028|0.0|30015|30015.0|30015|0.0|112|128.0|144|16.0|54|54.0|54|0.0|0|0|0|4|2|0|0|0|0|0|0|2|2|0|0|0|0|0|0|2|0|0|0|0|0|0||0|0||||||||0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
